,sentences,entity_1_mention,entity_2_mention,type,kfold
14,an increase in plasma drug concentration is possible during concomitant administration of <e1> sjw </e1> and <e2> prescribed drugs </e2>,sjw,prescribed drugs,POSITIVE,0
15,. methods: hepg2 and a549 cells were treated with p. emblica and <e1> t. bellerica </e1> extracts either alone or in combination with doxorubicin or <e2> cisplatin </e2> and effects on cell growth were determined using the sulforhodamine b (srb) assay,t. bellerica,cisplatin,SPECULATIVE,0
16,"<e1> st john's wort </e1> also enhances the metabolism of other cyp3a4 substrates including the protease inhibitors indinavir and <e2> nevirapine </e2>, oral contraceptives, and tricyclic antidepressants such as amitriptyline",st john's wort,nevirapine,POSITIVE,0
17,"<e1> st john's wort </e1> also enhances the metabolism of other cyp3a4 substrates including the protease inhibitors indinavir and nevirapine, oral contraceptives, and <e2> tricyclic antidepressants </e2> such as amitriptyline",st john's wort,tricyclic antidepressants,POSITIVE,0
18,"the <e1> hop </e1> extract at 5 μg/ml inhibited cyp2c8 (93%), cyp2c9 (88%), cyp2c19 (70%), and <e2> cyp1a2 </e2> (27%) with ic50 values of 0",hop,cyp1a2,POSITIVE,0
19,"in vitro studies from our laboratory suggest that short-term exposure with pure herbal agents such as hypericin, <e1> kaempferol </e1> and quercetin or extract of sjw resulted in higher uptake or influx of ritonavir and <e2> erythromycin </e2>",kaempferol,erythromycin,POSITIVE,0
20,"radix bupleuri and <e1> vinegar-baked radix bupleuri </e1> have strong induction effects on the <e2> cyp2e1 </e2>, cyp2d6 and cyp3a4, however, have no impact on cyp1a2",vinegar-baked radix bupleuri,cyp2e1,POSITIVE,0
21,". results: compared with placebo, the <e1> curcuminoid </e1>/piperine treatment produced no meaningful changes in plasma c(max), auc, clearance, elimination half-life or metabolite levels of <e2> midazolam </e2>, flurbiprofen or paracetamol (α = 0",curcuminoid,midazolam,NEGATIVE,0
22,"in contrast, many organosulfur compounds, such as diallyl sulfide from <e1> garlic </e1>, are potent inhibitors of <e2> cyp2e1 </e2>; this may provide an explanation for <e1> garlic </e1>'s chemoproventive effects, as many mutagens require activation by <e2> cyp2e1 </e2>",garlic,cyp2e1,POSITIVE,0
23,aim: to investigate the effects of <e1> ginkgo biloba </e1> extract (gbe) and tanshinone (tan) on <e2> cytochrome p450 </e2> (cyp) isozymes and glutathione transferase (gt) in rats,ginkgo biloba,cytochrome p450,SPECULATIVE,0
24,"in this article, the modulatory effects of extracts from <e1> vinegar-baked radix bupleuri </e1> (vbrb) and saikosaponins on the activity of cyp1a2, cyp2c9 and <e2> cyp3a4 </e2> were investigated in vitro",vinegar-baked radix bupleuri,cyp3a4,SPECULATIVE,0
25,"conclusions: <e1> ginkgo </e1> and ginger at recommended doses do not significantly affect clotting status, the pharmacokinetics or pharmacodynamics of <e2> warfarin </e2> in healthy subjects",ginkgo,warfarin,NEGATIVE,0
26,<e1> ginkgo </e1> and ginger did not affect the apparent volumes of distribution or protein binding of either <e2> s-warfarin </e2> or r-warfarin,ginkgo,s-warfarin,NEGATIVE,0
27,"<e1> digoxin </e1> therapy was maintained at a constant daily dose, the <e2> ginseng </e2> was stopped once more, and the serum <e1> digoxin </e1> levels again returned to within the therapeutic range",digoxin,ginseng,POSITIVE,0
28,"anticoagulants, nsaids, <e2> anti-platelet agents </e2>: lavender contains varying amounts of <e1> coumarins </e1> and may therefore theoretically increase the effect of anticoagulant medications",coumarins,anti-platelet agents,POSITIVE,0
29,. conclusion: the radix bupleuri and <e1> vinegar-baked radix bupleuri </e1> have different effects on the cyp2c9 and <e2> cyp2c19 </e2>,vinegar-baked radix bupleuri,cyp2c19,POSITIVE,0
30,".2 μm, whereas <e1> 8-prenylnaringenin </e1> was the most potent inhibitor of cyp1a2, cyp2c9 and <e2> cyp2c19 </e2> with ic50 values of 1",8-prenylnaringenin,cyp2c19,POSITIVE,0
31,high anti-phage activity of plants with the exception of <e1> lilium armenum </e1> against t4 phage of escherichia coli c-t4 was also shown. conclusions: plant crude extract or commercial antibiotic combinations significantly increased the efficiency of <e2> antibiotics </e2>,lilium armenum,antibiotics,POSITIVE,0
32,". materials and methods: the efficacy of danggui, <e1> honghua </e1> alone or combination with <e2> clopidogrel </e2> was determined in three experimental models",honghua,clopidogrel,SPECULATIVE,0
33,"interactions of several commonly used herbal medicines, such as ginko biloba, <e1> milk thistle </e1>, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, <e2> cyclosporine </e2>, tacrolimus, irinotecan, and imatinib in humans have been reported",milk thistle,cyclosporine,POSITIVE,0
34,"by taking advantage of the high protein binding of <e1> chan su </e1> and only 25% protein binding of <e2> digoxin </e2>, we further demonstrated that positive interference of <e1> chan su </e1> in the fpia and negative interference of <e1> chan su </e1> in the meia of <e2> digoxin </e2> could be eliminated by monitoring the free <e2> digoxin </e2> concentration",chan su,digoxin,POSITIVE,0
35,.63 ng/ml <e2> digoxin </e2>) increase in <e2> digoxin </e2> concentration when an aliquot of <e2> digoxin </e2> pool 1 (1.10 ng/ml <e2> digoxin </e2>) was supplemented with 50 microl of <e1> asian ginseng </e1> extract (brand 2),asian ginseng,digoxin,POSITIVE,0
36,.05) from that of controlled rats. conclusion: the <e1> radix bupleuri </e1> and vinegar-baked <e1> radix bupleuri </e1> have different effects on the <e2> cyp2c9 </e2> and cyp2c19,radix bupleuri,cyp2c9,POSITIVE,0
37,intake of <e1> st john's wort </e1> increases the expression of intestinal p-glycoprotein and the expression of <e2> cyp3a4 </e2> in the liver and intestine,st john's wort,cyp3a4,POSITIVE,0
38,<e1> felodipine </e1> 10 mg extended release was administered with 250 ml regular-strength <e2> grapefruit </e2> juice or water in a randomized crossover manner followed by a second <e2> grapefruit </e2> juice treatment in 12 healthy men,felodipine,grapefruit,SPECULATIVE,0
39,. methods: the antibiotic modulatory activity was tested by determining mics of <e1> antibiotics </e1> in the absence and presence of <e2> plant </e2> crude extracts at subinhibitory concentrations,antibiotics,plant,SPECULATIVE,0
40,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and <e1> st. john's wort </e1>, with therapeutic drugs including warfarin, midazolam, <e2> alprazolam </e2>, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",st. john's wort,alprazolam,POSITIVE,0
41,aim: the present study was conducted to investigate the effect of commonly used herb <e1> commiphora myrrha </e1> on the pharmacokinetic profile of <e2> theophylline </e2> (narrow therapeutic index drug) in rabbits,commiphora myrrha,theophylline,SPECULATIVE,0
42,serum pools prepared from samples from patients receiving <e2> digoxin </e2> and then supplemented with asian or <e1> siberian ginseng </e1> showed falsely increased <e2> digoxin </e2> values using the fpia (e,siberian ginseng,digoxin,POSITIVE,0
43,"aim: to examine the growth inhibitory effects of <e1> phyllanthus emblica </e1> (p. emblica) and terminalia bellerica (t. bellerica) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with doxorubicin or <e2> cisplatin </e2>",phyllanthus emblica,cisplatin,SPECULATIVE,0
44,"anticoagulants, nsaids, anti-platelet agents: <e1> lavender </e1> contains varying amounts of coumarins and may therefore theoretically increase the effect of <e2> anticoagulant medications </e2>",lavender,anticoagulant medications,POSITIVE,0
45,"isoxanthohumol from <e1> hops </e1> was the most potent inhibitor of cyp2c8 with an ic50 of 0.2 μm, whereas 8-prenylnaringenin was the most potent inhibitor of <e2> cyp1a2 </e2>, cyp2c9 and cyp2c19 with ic50 values of 1",hops,cyp1a2,POSITIVE,0
46,"in conclusion, it is evident that this study has shown the significant inhibitory effect of <e1> cinnamon </e1> on <e2> cyp2d </e2>",cinnamon,cyp2d,POSITIVE,0
47,.57-fold fc-di risk between <e1> acalabrutinib </e1> and <e2> curcumin </e2>,acalabrutinib,curcumin,POSITIVE,0
48,"interactions of several commonly used herbal medicines, such as <e1> ginko biloba </e1>, milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, <e2> indinavir </e2>, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",ginko biloba,indinavir,POSITIVE,0
49,the % increase in <e1> felodipine </e1> auc with the initial <e2> grapefruit </e2> juice treatment compared with water correlated with the % increase in <e1> felodipine </e1> cmax among individuals (r = 0,felodipine,grapefruit,POSITIVE,0
50,"anticoagulants, nsaids, anti-platelet agents: lavender contains varying amounts of <e1> coumarins </e1> and may therefore theoretically increase the effect of <e2> anticoagulant medications </e2>",coumarins,anticoagulant medications,POSITIVE,0
51,"herbal medicine regimens containing radix bupleuri, <e1> fructus gardenia </e1>, fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with quetiapine, clozapine, and <e2> olanzepine </e2> were associated with nearly 60% of the risk of adverse outcomes",fructus gardenia,olanzepine,POSITIVE,0
52,isoxanthohumol from <e1> hops </e1> was the most potent inhibitor of <e2> cyp2c8 </e2> with an ic50 of 0,hops,cyp2c8,POSITIVE,0
53,"for example, when a 20-microl aliquot of an aqueous extract of <e2> chan su </e2> powder (1 mg/ml) was added to a 2-ml aliquot of a drug-free serum, the observed <e1> digoxin </e1>-like immunoreactivity was 2",digoxin,chan su,POSITIVE,0
54,<e1> grapefruit </e1> juice may increase both the cholesterol-lowering effect and the risk of adverse effects of <e2> simvastatin </e2>,grapefruit,simvastatin,POSITIVE,0
55,the cardiovascular and central nervous system (cns) stimulant effects of monoamine oxidase inhibitors (<e2> maoi </e2>) and amphetamine-like drugs have been described to be enhanced by <e1> khat </e1> chewing,khat,maoi,POSITIVE,0
56,"herbal medicine regimens containing radix bupleuri, fructus gardenia, fructus schisandrae, radix rehmanniae, <e1> akebia caulis </e1>, and semen plantaginis in concomitant use with quetiapine, clozapine, and <e2> olanzepine </e2> were associated with nearly 60% of the risk of adverse outcomes",akebia caulis,olanzepine,POSITIVE,0
57,"interactions of several commonly used herbal medicines, such as ginko biloba, <e1> milk thistle </e1>, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, <e2> saquinavir </e2>, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",milk thistle,saquinavir,POSITIVE,0
58,"moreover, the t(max) of fa when coadministered with <e1> honghua </e1> or <e2> clopidogrel </e2> was 3 and 3",honghua,clopidogrel,POSITIVE,0
59,readministration of <e1> felodipine </e1> with <e2> grapefruit </e2> juice produced mean <e1> felodipine </e1> auc (61.5 +/- 32.2 ng ml-1 h) and cmax (8.4 +/- 4.8 ng ml-1) which were similar to the initial <e2> grapefruit </e2> juice treatment 1-3 weeks previously,felodipine,grapefruit,NEGATIVE,0
60,".2 μm, whereas <e1> 8-prenylnaringenin </e1> was the most potent inhibitor of <e2> cyp1a2 </e2>, cyp2c9 and cyp2c19 with ic50 values of 1",8-prenylnaringenin,cyp1a2,POSITIVE,0
61,"prospective simulations with grapefruit juice and <e1> turmeric </e1> showed clinically minor to insignificant changes in exposure (<1.50-fold) to acalabrutinib, <e2> osimertinib </e2> and olaparib, but predicted 1",turmeric,osimertinib,POSITIVE,0
62,"in this study, the pk parameters of <e2> atenolol </e2> responded in a dose-dependent manner to <e1> apple </e1> juice. conclusions: <e1> apple </e1> juice markedly reduced systemic exposure to <e2> atenolol </e2>",apple,atenolol,POSITIVE,0
63,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and <e1> st. john's wort </e1>, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, <e2> tacrolimus </e2>, irinotecan, and imatinib in humans have been reported",st. john's wort,tacrolimus,POSITIVE,0
64,"interactions of several commonly used herbal medicines, such as <e1> ginko biloba </e1>, milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and <e2> imatinib </e2> in humans have been reported",ginko biloba,imatinib,POSITIVE,0
65,"herbal medicine regimens containing radix bupleuri, <e1> fructus gardenia </e1>, fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with quetiapine, <e2> clozapine </e2>, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",fructus gardenia,clozapine,POSITIVE,0
66,"herbal medicine regimens containing radix bupleuri, <e1> fructus gardenia </e1>, fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with <e2> quetiapine </e2>, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",fructus gardenia,quetiapine,POSITIVE,0
67,"radix bupleuri and <e1> vinegar-baked radix bupleuri </e1> have strong induction effects on the cyp2e1, cyp2d6 and cyp3a4, however, have no impact on <e2> cyp1a2 </e2>",vinegar-baked radix bupleuri,cyp1a2,NEGATIVE,0
68,". materials and methods: the efficacy of <e1> danggui </e1>, honghua alone or combination with <e2> clopidogrel </e2> was determined in three experimental models",danggui,clopidogrel,SPECULATIVE,1
69,".) are used in the brewing of beer and by menopausal women as estrogenic dietary supplements, the potential for <e2> hop </e2> extracts and <e2> hop </e2> constituents to cause drug-botanical interactions by inhibiting human <e1> cytochrome p450 </e1> enzymes was investigated",cytochrome p450,hop,POSITIVE,1
70,the cardiovascular and central nervous system (cns) stimulant effects of <e2> monoamine oxidase inhibitors </e2> (maoi) and amphetamine-like drugs have been described to be enhanced by <e1> khat </e1> chewing,khat,monoamine oxidase inhibitors,POSITIVE,1
71,. john's wort (<e1> sjw </e1>) for antidepressants in combination with <e2> prescription medicines </e2>,sjw,prescription medicines,SPECULATIVE,1
72,"herbal medicine regimens containing <e1> radix bupleuri </e1>, fructus gardenia, fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with quetiapine, <e2> clozapine </e2>, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",radix bupleuri,clozapine,POSITIVE,1
73,aim: to investigate the cytotoxic effects of spray-dried extracts of <e1> phyllanthus niruri </e1> in combination with <e2> cisplatin </e2> on two cancer cell lines,phyllanthus niruri,cisplatin,SPECULATIVE,1
74,"aim of the study: the antithrombotic effect of danggui and <e1> honghua </e1>, herbs commonly used in traditional chinese medicine to treat the syndrome corresponding to vascular thrombosis, and their potential interactions with <e2> clopidogrel </e2> were investigated",honghua,clopidogrel,SPECULATIVE,1
75,"as a common chinese herb and western drug respectively, <e1> honghua </e1> and <e2> clopidogrel </e2> are often combined with fa-containing herbs to treat cardiovascular disease in clinical practice",honghua,clopidogrel,POSITIVE,1
76,"interactions of several commonly used herbal medicines, such as <e1> ginko biloba </e1>, milk thistle, and st. john's wort, with therapeutic drugs including <e2> warfarin </e2>, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",ginko biloba,warfarin,POSITIVE,1
77,many <e1> plant </e1>-<e2> antibiotic </e2> combinations induced the decrease in mics of <e2> antibiotic </e2>s up to ~fourfold indicating synergy,plant,antibiotic,POSITIVE,1
78,<e1> st. john's wort </e1> can speed up the body's elimination of some <e2> drugs </e2>,st. john's wort,drugs,POSITIVE,1
79,initial <e1> grapefruit </e1> juice treatment increased <e2> felodipine </e2> auc (mean +/- s,grapefruit,felodipine,POSITIVE,1
80,"so far, <e1> st. john's wort </e1> has been tested only with the protease inhibitor indinavir (<e2> crixivan </e2>), but it is likely to affect other drugs in that class and possibly non-nucleoside reverse transcriptase inhibitors",st. john's wort,crixivan,SPECULATIVE,1
81,"<e1> digoxin </e1> therapy was maintained at a constant daily dose, the <e2> ginseng </e2> was stopped once more, and the serum <e1> digoxin </e1> levels again returned to within the therapeutic range",digoxin,ginseng,POSITIVE,1
82,"the combinations of <e1> danggui </e1> plus <e2> clopidogrel </e2> and of honghua plus <e2> clopidogrel </e2> failed to significantly enhance the antithrombotic effects of <e2> clopidogrel </e2> alone against arterial thrombosis, venous thrombosis and pulmonary embolism",danggui,clopidogrel,NEGATIVE,1
83,". methods: this open label study included sixty type 2 diabetes mellitus patients divided into 3 groups, receiving <e1> sesame </e1> oil (n = 18), 5 mg/day (single dose) of <e2> glibenclamide </e2> (n = 20), or their combination (n = 22)",sesame,glibenclamide,SPECULATIVE,1
84,"aim: <e1> fruit </e1> juice reduces the plasma concentrations of several <e2> β-adrenoceptor blockers </e2>, likely by inhibiting oatp2b1-mediated intestinal absorption",fruit,β-adrenoceptor blockers,POSITIVE,1
85,". methods: six probe drugs (caffeine, midazolam, <e1> dextromethorphan </e1>, tolbutamide, omeprazole, chlorzoxazone) were simultaneously given to rats after different dosing of <e2> radix bupleuri </e2> or vinegar-baked <e2> radix bupleuri </e2> for seven days",dextromethorphan,radix bupleuri,SPECULATIVE,1
86,"in this study, the pk parameters of <e1> atenolol </e1> responded in a dose-dependent manner to <e2> apple </e2> juice",atenolol,apple,SPECULATIVE,1
87,". biloba </e1>, 240 mg <e1> g. biloba </e1>, 100 mg cilostazol, 200 mg cilostazol, 75 mg <e2> clopidogrel </e2>, 150 mg <e2> clopidogrel </e2>, 120 mg <e1> g",g. biloba,clopidogrel,SPECULATIVE,1
88,"the aim was to evaluate antibiotic modulatory effect of crude extracts from agrimonia eupatoria, hypericum alpestre, rumex obtusifolius and <e1> sanguisorba officinalis </e1> herbs towards several <e2> commercial antibiotics </e2> using some gram-positive and gram-negative bacteria",sanguisorba officinalis,commercial antibiotics,POSITIVE,1
89,. paniculata extract (ape) and <e1> andrographolide </e1> on the expression of drug-metabolizing enzymes in rat liver and determined whether modulation of these enzymes changed the pharmacokinetics of <e2> tolbutamide </e2>,andrographolide,tolbutamide,SPECULATIVE,1
90,"herbal medicine regimens containing radix bupleuri, fructus gardenia, fructus schisandrae, <e2> radix rehmanniae </e2>, akebia caulis, and semen plantaginis in concomitant use with <e1> quetiapine </e1>, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",quetiapine,radix rehmanniae,POSITIVE,1
91,". methods: six probe drugs (caffeine, <e1> midazolam </e1>, dextromethorphan, tolbutamide, omeprazole, chlorzoxazone) were simultaneously given to rats after different dosing of radix bupleuri or <e2> vinegar-baked radix bupleuri </e2> for seven days",midazolam,vinegar-baked radix bupleuri,SPECULATIVE,1
92,aim: to investigate the effects of ginkgo biloba extract (gbe) and <e1> tanshinone </e1> (tan) on <e2> cytochrome p450 </e2> (cyp) isozymes and glutathione transferase (gt) in rats,tanshinone,cytochrome p450,SPECULATIVE,1
93,"the aim was to evaluate antibiotic modulatory effect of crude extracts from <e1> agrimonia eupatoria </e1>, hypericum alpestre, rumex obtusifolius and sanguisorba officinalis herbs towards several <e2> commercial antibiotics </e2> using some gram-positive and gram-negative bacteria",agrimonia eupatoria,commercial antibiotics,POSITIVE,1
94,"previous in vitro studies indicate that curcuminoids and <e1> piperine </e1> (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit human cyp3a, cyp2c9, ugt and <e2> sult </e2> dependent drug metabolism",piperine,sult,POSITIVE,1
95,the pharmacokinetics of <e1> caffeine </e1> in all radix bupleuri or <e2> vinegar-baked radix bupleuri </e2>-treated rats showed no statistically significant difference (p > 0,caffeine,vinegar-baked radix bupleuri,POSITIVE,1
96,"<e1> ginkgo biloba </e1> extract, advertised as improving cognitive functioning, has been reported to cause spontaneous bleeding, and it may interact with <e2> anticoagulants and antiplatelet agents </e2>",ginkgo biloba,anticoagulants and antiplatelet agents,POSITIVE,1
97,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and <e1> st. john's wort </e1>, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, <e2> nifedipine </e2>, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",st. john's wort,nifedipine,POSITIVE,1
98,"herbal medicine regimens containing radix bupleuri, fructus gardenia, <e1> fructus schisandrae </e1>, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with <e2> quetiapine </e2>, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",fructus schisandrae,quetiapine,POSITIVE,1
99,"in order to investigate the influence of <e1> rhodiola rosea l. </e1> roots on mood disorders, three extracts were tested against monoamine oxidases (<e2> maos a and b </e2>) in a microtitre plate bioassay",rhodiola rosea l.,maos a and b,POSITIVE,1
100,"so far, <e1> st. john's wort </e1> has been tested only with the protease inhibitor <e2> indinavir </e2> (crixivan), but it is likely to affect other drugs in that class and possibly non-nucleoside reverse transcriptase inhibitors",st. john's wort,indinavir,SPECULATIVE,1
101,"isoxanthohumol from <e1> hops </e1> was the most potent inhibitor of cyp2c8 with an ic50 of 0.2 μm, whereas 8-prenylnaringenin was the most potent inhibitor of cyp1a2, cyp2c9 and <e2> cyp2c19 </e2> with ic50 values of 1",hops,cyp2c19,POSITIVE,1
102,"<e1> radix bupleuri </e1> and vinegar-baked <e1> radix bupleuri </e1> have strong induction effects on the <e2> cyp2e1 </e2>, cyp2d6 and cyp3a4, however, have no impact on cyp1a2",radix bupleuri,cyp2e1,POSITIVE,1
103,ginkgo and <e1> ginger </e1> did not affect the apparent volumes of distribution or protein binding of either s-warfarin or <e2> r-warfarin </e2>,ginger,r-warfarin,NEGATIVE,1
104,". results: compared with placebo, the curcuminoid/<e1> piperine </e1> treatment produced no meaningful changes in plasma c(max), auc, clearance, elimination half-life or metabolite levels of midazolam, <e2> flurbiprofen </e2> or paracetamol (α = 0",piperine,flurbiprofen,NEGATIVE,1
105,"interactions of several commonly used herbal medicines, such as ginko biloba, <e1> milk thistle </e1>, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, <e2> tacrolimus </e2>, irinotecan, and imatinib in humans have been reported",milk thistle,tacrolimus,POSITIVE,1
106,"in transplant patients, self-medication with st john's wort (<e1> hypericum perforatum </e1>) has led to a drop in plasma levels of the immunosuppressant drug <e2> cyclosporine </e2>, causing tissue rejection",hypericum perforatum,cyclosporine,POSITIVE,1
107,". methods: six probe drugs (caffeine, <e1> midazolam </e1>, dextromethorphan, tolbutamide, omeprazole, chlorzoxazone) were simultaneously given to rats after different dosing of <e2> radix bupleuri </e2> or vinegar-baked <e2> radix bupleuri </e2> for seven days",midazolam,radix bupleuri,SPECULATIVE,1
108,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and <e1> st. john's wort </e1>, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, <e2> cyclosporine </e2>, tacrolimus, irinotecan, and imatinib in humans have been reported",st. john's wort,cyclosporine,POSITIVE,1
109,ginkgo and <e1> ginger </e1> did not affect the apparent volumes of distribution or protein binding of either <e2> s-warfarin </e2> or r-warfarin,ginger,s-warfarin,NEGATIVE,1
110,"however, both danggui and <e1> honghua </e1> significantly potentiated the prolongation caused by <e2> clopidogrel </e2> on the tail bleeding time and pt",honghua,clopidogrel,POSITIVE,1
111,"other herbal remedies with the potential to modulate <e2> cytochrome p450 </e2> activity and thus participate in interactions with conventional drugs include <e1> milk thistle </e1>, angelica dahurica, ginseng, garlic preparations, danshen and liquorice",milk thistle,cytochrome p450,POSITIVE,1
112,"<e1> khat </e1> chewing has been shown to reduce the bioavailabilities of orally co-administered <e2> antibiotics </e2>, ampicillin, amoxicillin, cephradine and tetracyclinehcl, and the antimalarial drug, chloroquine",khat,antibiotics,POSITIVE,1
113,"conclusions: ginkgo and <e1> ginger </e1> at recommended doses do not significantly affect clotting status, the pharmacokinetics or pharmacodynamics of <e2> warfarin </e2> in healthy subjects",ginger,warfarin,NEGATIVE,1
114,"in this article, the modulatory effects of extracts from <e1> vinegar-baked radix bupleuri </e1> (vbrb) and saikosaponins on the activity of cyp1a2, <e2> cyp2c9 </e2> and cyp3a4 were investigated in vitro",vinegar-baked radix bupleuri,cyp2c9,SPECULATIVE,1
115,"other herbal remedies with the potential to modulate <e2> cytochrome p450 </e2> activity and thus participate in interactions with conventional drugs include milk thistle, <e1> angelica dahurica </e1>, ginseng, garlic preparations, danshen and liquorice",angelica dahurica,cytochrome p450,POSITIVE,1
116,"moreover, <e1> sdepn </e1> in combination with <e2> cisplatin </e2> induces a synergistic increase in the cell death of both ht29 and hepg2 cells",sdepn,cisplatin,POSITIVE,1
117,"herbal medicine regimens containing radix bupleuri, fructus gardenia, <e1> fructus schisandrae </e1>, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with quetiapine, <e2> clozapine </e2>, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",fructus schisandrae,clozapine,POSITIVE,1
