,sentences,entity_1_mention,entity_2_mention,type,kfold
13, <e1> ginkgo </e1>  and ginger did not affect the apparent volumes of distribution or protein binding of either s <e2> r-warfarin </e2> or r-warfarin.,ginkgo,r-warfarin,NEGATIVE,0
14," <e1> khat </e1>  chewing has been shown to reduce the bioavailabilities of orally co-administered antibiotics, ampicillin, amoxicillin, cephradine and tetracycline <e2> antimalarial drug </e2> malarial drug, chloroquine.",khat,antimalarial drug,POSITIVE,0
15, <e1> felodipine </e1>  10 mg extended release was administered with 250 ml regular-strength grapefruit juice or water in a randomized crossover manner followed <e2> grapefruit </e2> nd grapefruit juice treatment in 12 healthy men.,felodipine,grapefruit,SPECULATIVE,0
16,"however, the role of herb-drug interaction between  <e1> indomethaci <e2> a. officinarum </e2> . officinarum based on pharmacokinetic, tissue distribution and excretion still remains unknown.",indomethacin,a. officinarum,SPECULATIVE,0
17,"interactions of several commonly used herbal medicines, such as  <e1> ginko biloba </e1> , milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, c <e2> tacrolimus </e2> e, tacrolimus, irinotecan, and imatinib in humans have been reported.",ginko biloba,tacrolimus,POSITIVE,0
18,"on day 3, a single 40-mg dose of  <e1> simvastatin </e1>  was admin <e2> grapefruit </e2> th grapefruit juice 200 ml or water.",simvastatin,grapefruit,SPECULATIVE,0
19,our results clarified that oral administration of  <e1> a. officinarum </e1>  produced significant alterations in the pharmacokinetic p <e2> indomethacin </e2>  indomethacin.,a. officinarum,indomethacin,POSITIVE,0
20,"herbal medicine regimens containing  <e1> radix bupleuri </e1> , fructus gardenia, fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with quetiapine, cl <e2> olanzepine </e2> nd olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",radix bupleuri,olanzepine,POSITIVE,0
21,"prospective simulations with grapefruit juice and  <e1> turmeric </e1>  showed clinically minor to insignificant changes in exposure (<1 <e2> acalabrutinib </e2> acalabrutinib, osimertinib and olaparib, but predicted 1.57-fold fc-di risk between acalabrutinib and curcumin.",turmeric,acalabrutinib,POSITIVE,0
22,"aims: this study investigated the pharmacokinetic and pharmacodynamic interactions of echinacea and  <e1> policosanol </e1>  with warfarin in healthy subjects. Methods: this was an open-label, randomized, three-treatment, cross-over, clinical trial in healthy male subjects (n= 12) of known cyp2c9 and vkorc1 genotype who received a single oral dose of warfarin alone or after 2 weeks of pre-tr <e2> each herbal medicine </e2> rbal medicine at recommended doses.",policosanol,each herbal medicine,COREF,0
23,"herbal medicine regimens containing radix bupleuri, fructus gardenia,  <e1> fructus schisandrae </e1> , radix rehmanniae, akebia caulis, and semen plantaginis in concomit <e2> quetiapine </e2> th quetiapine, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",fructus schisandrae,quetiapine,POSITIVE,0
24,"prospective simulations with grapefruit juice and turmeric showed clinically minor to insignificant changes in exposure (<1.50-fold) to acalabrutinib, osimertinib and olaparib, but predicted 1.57-fold fc-di risk between  <e1> acalabrutini <e2> curcumin </e2>  and curcumin.",acalabrutinib,curcumin,POSITIVE,0
25,"aim: to investigate the effects of  <e1> ginkgo biloba </e1>  extract (gbe) and tanshinone (tan) on cytochrome p450 (cyp) isozymes and glutathione transferase (gt) in rats. methods: several cyp-dependent reactions were monitored in liver and kidney microsomes of male rats treated ig with gbe and tan daily for 10 d. the activity of gt, the levels of malondialdehyde (mda) and nitric oxide (no) in the tissues were also determined. results: cyp1a1, 1a2, and 2b1 activities in the liver were all significantly increased (2-9.5 fold) by pretr <e2> gbe </e2> ment with gbe or tan (p<0.01).",ginkgo biloba,gbe,COREF,0
26,"aim: to assess the effects of radix bupleuri and vinegar-baked radix bupleuri on cytochrome 450 activity of rats. methods: six probe drugs ( <e1> caffeine </e1> , midazolam, dextromethorphan, tolbutamide, omeprazole, chlorzoxazone) were simultaneously given to rats after different dosing of radix <e2> vinegar-baked radix bupleuri </e2> adix bupleuri for seven days.",caffeine,vinegar-baked radix bupleuri,SPECULATIVE,0
27,"aids:  <e1> st. john's wort </e1> , an herbal treatment for depression, should not be combined with certain drugs, in <e2> antiretrovirals </e2> tiretrovirals.",st. john's wort,antiretrovirals,POSITIVE,0
28,"aim: to assess the effects of radix bupleuri and vinegar-baked radix bupleuri on cytochrome 450 activity of rats. methods: six probe drugs (caffeine, midazolam, dextromethorphan, tolbutamide, omeprazole,  <e1> chlorzoxazone </e1> ) were simultaneously given to rats after differe <e2> radix bupleuri </e2> adix bupleuri or vinegar-baked radix bupleuri for seven days.",chlorzoxazone,radix bupleuri,SPECULATIVE,0
29,"digoxin therapy was maintained at a constant daily dose, the  <e2> ginseng </e2>  was stopped once more, and the serum  <e1> digoxin </e1>  levels again returned to within the therapeutic range.",digoxin,ginseng,POSITIVE,0
30,"in this study, we investigated the effects of  <e1> a. paniculata </e1>  extract (ape) and andrographolide on the e <e2> drug-metabolizing enzymes </e2> izing enzymes in rat liver and determined whether modulation of these enzymes changed the pharmacokinetics of tolbutamide.",a. paniculata,drug-metabolizing enzymes,SPECULATIVE,0
31,high anti-phage activity of plants with the exception of  <e1> lilium armenum </e1>  against t4 phage of escherichia coli c-t4 was also shown. conclusions: plant crude extract or commercial antibiotic combinations significantly increased the e <e2> antibiotics </e2> f antibiotics.,lilium armenum,antibiotics,POSITIVE,0
32,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and  <e1> st. john's wort </e1> , with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, c <e2> tacrolimus </e2> e, tacrolimus, irinotecan, and imatinib in humans have been reported.",st. john's wort,tacrolimus,POSITIVE,0
33,"in this article, the modulatory effects of extracts from  <e1> vinegar-baked radix bupleuri </e1>  (vbrb) and saikosaponins on the activity of cyp1a2 <e2> cyp3a4 </e2> c9 and cyp3a4 were investigated in vitro.",vinegar-baked radix bupleuri,cyp3a4,SPECULATIVE,0
34," <e1> digoxin </e1>  therapy was maintained at a constant dai <e2> ginseng </e2> , the ginseng was stopped once more, and the serum digoxin levels again returned to within the therapeutic range.",digoxin,ginseng,POSITIVE,0
35,"the % increase in  <e1> felodipine </e1>  auc with <e2> grapefruit </e2> al grapefruit juice treatment compared with water correlated with the % increase in felodipine cmax among individuals (r = 0.80, p < 0.01).",felodipine,grapefruit,POSITIVE,0
36,"aim: to examine the growth inhibitory effects of  <e1> phyllanthus emblica </e1>  (p. emblica) and terminalia bellerica (t. bellerica) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with do <e2> cisplatin </e2>  or cisplatin. methods: hepg2 and a549 cells were treated with p. emblica and t. bellerica extracts either alone or in combination with doxorubicin or cisplatin and effects on cell growth were determined using the sulforhodamine b (srb) assay.",phyllanthus emblica,cisplatin,SPECULATIVE,0
37,"in this study, the pk parameters of atenolol responded in a dose-dependent manner to apple juice. conclusions:  <e1> apple </e1>  juice markedly reduced systemic <e2> atenolol </e2> e to atenolol.",apple,atenolol,POSITIVE,0
38,ginkgo and  <e1> ginger </e1>  did not affect the apparent volumes of distribution or protein bindi <e2> s-warfarin </e2> er s-warfarin or r-warfarin.,ginger,s-warfarin,NEGATIVE,0
39,"as hops (humulus lupulus l.) are used in the brewing of beer and by menopausal women as estrogenic dietary supplements, the potential for hop extracts and  <e2> hop </e2>  constituents to cause drug-botanical interactions by inhibiting human  <e1> cytochrome p450 </e1>  enzymes was investigated.",cytochrome p450,hop,POSITIVE,0
40,"herbal medicine regimens containing radix bupleuri, fructus gardenia, fructus schisandrae, radix rehmanniae,  <e1> akebia caulis </e1> , and semen plantaginis in concomitant use with <e2> clozapine </e2> ne, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",akebia caulis,clozapine,POSITIVE,0
41,initial  <e1> grapefruit </e1>  juice treatme <e2> felodipine </e2> ed felodipine auc (mean +/- s.d.,grapefruit,felodipine,POSITIVE,0
42,"plasma concentrations of simvastatin and simvastatin acid were determined up to 24 h. results:  <e2> grapefruit </e2>  juice increased the area under the plasma concentration-time curves from 0 to 24 h [auc(0-24)] of simvastatin 3.6-fold (range 1.8-6.0-fold; p < 0.01) and that of  <e1> simvastatin acid </e1>  3.3-fold (range 2.1-5.6-fold; p < 0.01), respectively.",simvastatin acid,grapefruit,POSITIVE,0
43,"aim: to examine the growth inhibitory effects of phyllanthus emblica (p. emblica) and terminalia bellerica (t. bellerica) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with doxorubicin or cisplatin. methods: hepg2 and a549 cells were treated with p. emblica and  <e1> t. bellerica </e1>  extracts either alone or in comb <e2> doxorubicin </e2> h doxorubicin or cisplatin and effects on cell growth were determined using the sulforhodamine b (srb) assay.",t. bellerica,doxorubicin,SPECULATIVE,0
44,synergistic effects (ci < 1) for  <e1> p. em <e2> doxorubicin </e2>  /doxorubicin or cisplatin at different dose levels were demonstrated in a549 and hepg2 cells.,p. emblica,doxorubicin,POSITIVE,0
45,"aim: to assess the effects of radix bupleuri and vinegar-baked radix bupleuri on cytochrome 450 activity of rats. methods: six probe drugs (caffeine, midazolam,  <e1> dextromethorphan </e1> , tolbutamide, omeprazole, chlorzoxazone) were simultaneously given to rats after different dosing of radix <e2> vinegar-baked radix bupleuri </e2> adix bupleuri for seven days.",dextromethorphan,vinegar-baked radix bupleuri,SPECULATIVE,0
46,"the combinations of  <e1> danggui <e2> clopidogrel </e2> s clopidogrel and of honghua plus clopidogrel failed to significantly enhance the antithrombotic effects of clopidogrel alone against arterial thrombosis, venous thrombosis and pulmonary embolism.",danggui,clopidogrel,NEGATIVE,0
47,"aim: to investigate the effects of ginkgo biloba extract (gbe) and tanshinone (tan) on cytochrome p450 (cyp) isozymes and glutathione transferase (gt) in rats. methods: several cyp-dependent reactions were monitored in liver and kidney microsomes of male rats treated ig with gbe and tan daily for 10 d. the activity of gt, the levels of malondialdehyde (mda) and nitric oxide (no) in the tissues were also determined. results: cyp1a1, 1a2, and  <e1> 2b1 </e1>  activities in the liver were all significantly increased (2-9.5 fold) by pretr <e2> gbe </e2> ment with gbe or tan (p<0.01).",2b1,gbe,POSITIVE,0
48,in april 2000 the interaction of  <e1> st john's wort <e2> cyclosporine </e2>  cyclosporine was suspected and the patient's self-medication was stopped.,st john's wort,cyclosporine,POSITIVE,0
49," <e1> st john's wort </e1>  also enhances the metabolism of other cyp3a4 substrates including the protease inhibitors i <e2> nevirapine </e2> nd nevirapine, oral contraceptives, and tricyclic antidepressants such as amitriptyline.",st john's wort,nevirapine,POSITIVE,0
50,"moreover,  <e1> sdepn </e1>  in comb <e2> cisplatin </e2> ith cisplatin induces a synergistic increase in the cell death of both ht29 and hepg2 cells.",sdepn,cisplatin,POSITIVE,0
51,"interactions of several commonly used herbal medicines, such as  <e1> ginko biloba </e1> , milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, <e2> digoxin </e2> avir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",ginko biloba,digoxin,POSITIVE,0
52,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and  <e1> st. john's wort </e1> , with therapeutic dru <e2> warfarin </e2> ding warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",st. john's wort,warfarin,POSITIVE,0
53," <e1> ginseng </e1> , widely used for its purported physical and mental effects, is generally well tolerated, but it has been implicated as a cause of decreased <e2> warfarin </e2> e to warfarin.",ginseng,warfarin,POSITIVE,0
54,"in this study, an ultra-fast liquid-tandem mass spectrometry (uflc-ms/ms) method was developed for simultaneous determination of indomethacin and its three metabolites, o-desmethylindomethacin (odi), deschlorobenzoylindomethacin (ndi) and indomethacin acyl-β-d-glucuronide (idaβg) by oral administration of  <e1> indomethacin </e1>  solution with and without the ethanoli <e2> a. officinarum </e2> . officinarum and applied to comparative pharmacokinetic, tissue distribution and excretion studies.",indomethacin,a. officinarum,SPECULATIVE,0
55,"in vitro studies from our laboratory suggest that short-term exposure with pure herbal agents such as  <e1> hypericin </e1> , kaempferol and quercetin or extract of sjw resulted in higher uptake  <e2> ritonavir </e2>  of ritonavir and erythromycin.",hypericin,ritonavir,POSITIVE,0
56,"radix bupleuri and  <e1> vinegar-baked radix bupleuri </e1>  have strong induction effects on the cyp2e1, cyp2d6 and cyp3a4, however, have  <e2> cyp1a2 </e2> act on cyp1a2.",vinegar-baked radix bupleuri,cyp1a2,NEGATIVE,0
57,"prospective simulations with grapefruit juice and  <e1> turmeric </e1>  showed clinically minor to insignificant changes in exposure (<1.50-fold) to ac <e2> osimertinib </e2> , osimertinib and olaparib, but predicted 1.57-fold fc-di risk between acalabrutinib and curcumin.",turmeric,osimertinib,POSITIVE,0
58," <e1> radix bupleuri </e1>  and vinegar-baked radix bupleuri have strong induction effects on the cyp2e1, cyp2d6 and cyp3a4, however, have  <e2> cyp1a2 </e2> act on cyp1a2.",radix bupleuri,cyp1a2,NEGATIVE,0
59,"the aim was to evaluate antibiotic modulatory effect of crude extracts from agrimonia eupatoria,  <e1> hypericum alpestre </e1> , rumex obtusifolius and sanguisorba officinalis herbs tow <e2> commercial antibiotics </e2> l antibiotics using some gram-positive and gram-negative bacteria. methods: the antibiotic modulatory activity was tested by determining mics of antibiotics in the absence and presence of plant crude extracts at subinhibitory concentrations.",hypericum alpestre,commercial antibiotics,POSITIVE,0
60,"prospective simulations with  <e1> grapefruit </e1>  juice and turmeric showed clinically minor to insignificant changes in exposure (<1.50-fold) to ac <e2> osimertinib </e2> , osimertinib and olaparib, but predicted 1.57-fold fc-di risk between acalabrutinib and curcumin.",grapefruit,osimertinib,POSITIVE,0
61,"anticoagulants, nsaids, anti-platelet agents: lavender contains varying amounts of  <e1> coumarins </e1>  and may therefore theoretically increase t <e2> anticoagulant medications </e2> t medications.",coumarins,anticoagulant medications,POSITIVE,0
62, <e1> cyclosporine </e1>  dosage during the comed <e2> st john's wort </e2> t john's wort was increased to a mean dosage of 8.2 mg/kg body weight daily (95% confidence interval: 7.0-9.4 mg/kg).,cyclosporine,st john's wort,SPECULATIVE,0
63,"aim: to investigate the effects of ginkgo biloba extract (gbe) and tanshinone (tan) on cytochrome p450 (cyp) isozymes and glutathione transferase (gt) in rats. methods: several cyp-dependent reactions were monitored in liver and kidney microsomes of male rats treated ig with gbe and tan daily for 10 d. the activity of gt, the levels of malondialdehyde (mda) and nitric oxide (no) in the tissues were also determined. results:  <e1> cyp1a1 </e1> , 1a2, and 2b1 activities in the liver were all significantly increased (2-9.5 fold) by pretr <e2> gbe </e2> ment with gbe or tan (p<0.01).",cyp1a1,gbe,POSITIVE,0
64,"aim of the study: the antithrombotic effect of danggui and honghua, herbs commonly used in traditional chinese medicine to treat the syndrome corresponding to vascular thrombosis, and their potential interactions with clopidogrel were investigated. materials and methods: the efficacy of danggui,  <e1> honghua </e1>  alone or comb <e2> clopidogrel </e2> h clopidogrel was determined in three experimental models.",honghua,clopidogrel,SPECULATIVE,0
65,"the aim was to evaluate antibiotic modulatory effect of crude extracts from agrimonia eupatoria, hypericum alpestre,  <e1> rumex obtusifolius </e1>  and sanguisorba officinalis herbs tow <e2> commercial antibiotics </e2> l antibiotics using some gram-positive and gram-negative bacteria. methods: the antibiotic modulatory activity was tested by determining mics of antibiotics in the absence and presence of plant crude extracts at subinhibitory concentrations.",rumex obtusifolius,commercial antibiotics,POSITIVE,0
66,"interactions of several commonly used herbal medicines, such as ginko biloba,  <e1> milk thistle </e1> , and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinav <e2> nifedipine </e2> n, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",milk thistle,nifedipine,POSITIVE,0
67,"as  <e1> hops </e1>  (humulus lupulus l.) are used in the brewing of beer and by menopausal women as estrogenic dietary supplements, the potential for hop extracts and hop constitue <e2> drug </e2> to cause drug-botanical interactions by inhibiting human cytochrome p450 enzymes was investigated.",hops,drug,POSITIVE,0
68,"prospective simulations with  <e1> grapefruit </e1>  juice and turmeric showed clinically minor to insignificant changes in exposure (<1.50-fold) to acalabrutinib, osi <e2> olaparib </e2>  and olaparib, but predicted 1.57-fold fc-di risk between acalabrutinib and curcumin.",grapefruit,olaparib,POSITIVE,0
69,"herbal medicine regimens containing radix bupleuri, fructus gardenia, fructus schisandrae,  <e1> radix rehmanniae </e1> , akebia caulis, and semen plantaginis in concomitant use with quetiapine, cl <e2> olanzepine </e2> nd olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",radix rehmanniae,olanzepine,POSITIVE,0
70,"anticoagulants,  <e2> nsaids </e2> , anti-platelet agents: lavender contains varying amounts of  <e1> coumarins </e1>  and may therefore theoretically increase the effect of anticoagulant medications.",coumarins,nsaids,POSITIVE,1
71,"extracts of  <e1> hops </e1>  contain prenylated compounds such as the flavanones isoxanthohumol and 8-prenylnaringenin and the chalcone xanthohumol that can inhibit cyp450s, especially the cyp2c family, which may affect the efficacy and sa <e2> cyp2c substrate drugs </e2> bstrate drugs when co-administered.",hops,cyp2c substrate drugs,POSITIVE,1
72,"however, if potential drug interactions are to be predicted, it is essential that the ability of  <e1> herbal products </e1>  to in <e2> drug-metabolizing enzyme </e2> lizing enzyme systems is fully established.",herbal products,drug-metabolizing enzyme,SPECULATIVE,1
73,"as a common chinese herb and western drug respectively,  <e1> honghu <e2> clopidogrel </e2> d clopidogrel are often combined with fa-containing herbs to treat cardiovascular disease in clinical practice.",honghua,clopidogrel,POSITIVE,1
74,"herbal medicine regimens containing radix bupleuri, fructus gardenia, fructus schisandrae, radix rehmanniae,  <e1> akebia caulis </e1> , and semen plantaginis in concomitant use with quetiapine, cl <e2> olanzepine </e2> nd olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",akebia caulis,olanzepine,POSITIVE,1
75,"aim: to assess the effects of radix bupleuri and vinegar-baked radix bupleuri on cytochrome 450 activity of rats. methods: six probe drugs ( <e1> caffeine </e1> , midazolam, dextromethorphan, tolbutamide, omeprazole, chlorzoxazone) were simultaneously given to rats after differe <e2> radix bupleuri </e2> adix bupleuri or vinegar-baked radix bupleuri for seven days.",caffeine,radix bupleuri,SPECULATIVE,1
76,"isoxanthohumol from  <e1> hops </e1>  was the most potent inhibitor of cyp2c8 with an ic50 of 0.2 μm, whereas 8-prenylnaringenin was the most potent inhibitor of cyp1a2 <e2> cyp2c19 </e2> 9 and cyp2c19 with ic50 values of 1.1 μm, 1.1 μm and 0.4 μm, respectively.",hops,cyp2c19,POSITIVE,1
77,"for example, we observed 48.2% (1.63 ng/ml digoxin) increase in  <e2> digoxin </e2>  concentration when an aliquot of digoxin pool 1 (1.10 ng/ml digoxin) was supplemented with 50 microl of  <e1> asian ginseng </e1>  extract (brand 2).",asian ginseng,digoxin,POSITIVE,1
78,the cardiovascular and central nervous system (cns) stimulant effects of monoamine oxidase inhibitors (maoi) and  <e2> amphetamine-like drugs </e2>  have been described to be enhanced by  <e1> khat </e1>  chewing.,khat,amphetamine-like drugs,POSITIVE,1
79,readministration of felodipine with  <e2> grapefruit </e2>  juice produced mean  <e1> felodipine </e1>  auc (61.5 +/- 32.2 ng ml-1 h) and cmax (8.4 +/- 4.8 ng ml-1) which were similar to the initial grapefruit juice treatment 1-3 weeks previously.,felodipine,grapefruit,NEGATIVE,1
80,"as hops ( <e1> humulus lupulus l. </e1> ) are used in the brewing of beer and by menopausal women as estrogenic dietary supplements, the potential for hop extracts and hop constitue <e2> drug </e2> to cause drug-botanical interactions by inhibiting human cytochrome p450 enzymes was investigated.",humulus lupulus l.,drug,POSITIVE,1
81,"interactions of several commonly used herbal medicines, such as  <e1> ginko biloba </e1> , milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, <e2> cyclosporine </e2>  cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",ginko biloba,cyclosporine,POSITIVE,1
82,"as hops (humulus lupulus l.) are used in the brewing of beer and by menopausal women as estrogenic dietary supplements, the potential for  <e1> hop </e1>  extracts and hop constitue <e2> drug </e2> to cause drug-botanical interactions by inhibiting human cytochrome p450 enzymes was investigated.",hop,drug,POSITIVE,1
83,"in contrast, many organosulfur compounds, such as diallyl sulfide from  <e1> garlic </e1> , are potent i <e2> cyp2e1 </e2> ors of cyp2e1; this may provide an explanation for garlic's chemoproventive effects, as many mutagens require activation by cyp2e1.",garlic,cyp2e1,POSITIVE,1
84,"interactions of several commonly used herbal medicines, such as ginko biloba,  <e1> milk thistle </e1> , and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, <e2> cyclosporine </e2>  cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",milk thistle,cyclosporine,POSITIVE,1
85, <e1> cyclosporine </e1>  blood levels (trough levels) remained stable over the years.drug interaction: in 1995 the female patient started self-med <e2> st john's wort </e2> t john's wort because of medium reactive depression.,cyclosporine,st john's wort,NEGATIVE,1
86,"aims: this study investigated the pharmacokinetic and pharmacodynamic interactions of  <e1> echinacea </e1>  and policosanol with warfarin in healthy subjects. Methods: this was an open-label, randomized, three-treatment, cross-over, clinical trial in healthy male subjects (n= 12) of known cyp2c9 and vkorc1 genotype who received a single oral dose of warfarin alone or after 2 weeks of pre-tr <e2> each herbal medicine </e2> rbal medicine at recommended doses.",echinacea,each herbal medicine,COREF,1
87,ginkgo and  <e1> ginger </e1>  did not affect the apparent volumes of distribution or protein binding of either s <e2> r-warfarin </e2> or r-warfarin.,ginger,r-warfarin,NEGATIVE,1
88,"by taking advantage of the high protein binding of chan su and only 25% protein binding of digoxin, we further demonstrated that positive interference of chan su in the fpia and negative interference of  <e1> chan su </e1>  in the meia of digoxin could be eliminated by monitor <e2> digoxin </e2>  free digoxin concentration.",chan su,digoxin,POSITIVE,1
89,"interactions of several commonly used herbal medicines, such as ginko biloba,  <e1> milk thistle </e1> , and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, <e2> digoxin </e2> avir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",milk thistle,digoxin,POSITIVE,1
90,"moreover, the t(max) of fa when coadministered with  <e1> hongh <e2> clopidogrel </e2> r clopidogrel was 3 and 3.76 times slower than when administered alone.",honghua,clopidogrel,POSITIVE,1
91,"interactions of several commonly used herbal medicines, such as  <e1> ginko biloba </e1> , milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinav <e2> nifedipine </e2> n, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",ginko biloba,nifedipine,POSITIVE,1
92,"aim of the study: the antithrombotic effect of danggui and  <e1> honghua </e1> , herbs commonly used in traditional chinese medicine to treat the syndrome corresponding to vascular thrombosis, and their potential inter <e2> clopidogrel </e2> h clopidogrel were investigated. materials and methods: the efficacy of danggui, honghua alone or combination with clopidogrel was determined in three experimental models.",honghua,clopidogrel,SPECULATIVE,1
